name,cmc,release_year,price,color,image
Regal Force,7,2008,4.95,#087500,https://cards.scryfall.io/large/front/6/7/674a694a-22b8-4fb8-b901-91d64564c0db.jpg?1562916588
Rekindled Flame,4,2008,0.25,#ff1a1a,https://cards.scryfall.io/large/front/1/3/131c6377-4ed4-4a76-a9cb-be7ad17d76fd.jpg?1562899037
Rise of the Hobgoblins,2,2008,4.48,#d78f42,https://cards.scryfall.io/large/front/5/3/53c5d47d-0c5c-4932-aaf1-df21b8b8daeb.jpg?1562912467
Rugged Prairie,0,2008,5.63,#d78f42,https://cards.scryfall.io/large/front/e/3/e31f8b2a-acf4-423c-bc99-8cf44f3c018a.jpg?1562942931
Sanity Grinding,3,2008,4.18,#341aff,https://cards.scryfall.io/large/front/7/d/7d3e377f-6bb7-4fa1-b58b-7e2af06ca4b7.jpg?1562921379
Sapling of Colfenor,5,2008,1.83,#d78f42,https://cards.scryfall.io/large/front/7/b/7b3c373d-9733-425b-8ff5-2862a96f5188.jpg?1562920942
Scarecrone,3,2008,1.37,#8c8d8b,https://cards.scryfall.io/large/front/1/9/1978400d-a8f1-4df7-8caf-b9ca81334bce.jpg?1562900329
Spirit of the Hearth,6,2008,0.44,#ffffff,https://cards.scryfall.io/large/front/6/6/667cf0b6-1dd9-420a-abf8-f6a698aafea7.jpg?1562916433
Spitting Image,6,2008,0.26,#d78f42,https://cards.scryfall.io/large/front/a/3/a3d60c0c-1bc8-4962-9205-4645db7fb26e.jpg?1562929510
Springjack Pasture,0,2008,1.51,#8c8d8b,https://cards.scryfall.io/large/front/c/0/c02df7f4-c664-48bd-9508-f0b4298b1ef8.jpg?1562935644
Stigma Lasher,2,2008,3.26,#ff1a1a,https://cards.scryfall.io/large/front/c/e/ce5d1fd4-0543-46ce-bcea-1695fc04e85b.jpg?1562938629
Stillmoon Cavalier,3,2008,3.76,#d78f42,https://cards.scryfall.io/large/front/4/0/400dc91e-96c0-49bf-b307-677d6f80f3ed.jpg?1562908283
Talara's Battalion,2,2008,0.66,#087500,https://cards.scryfall.io/large/front/b/0/b0d00ea9-1111-47c3-9722-4c68ce3e4d56.jpg?1562932315
Thunderblust,5,2008,0.53,#ff1a1a,https://cards.scryfall.io/large/front/d/5/d5872624-7994-468c-9e16-4a771a0dbcfa.jpg?1562940184
Twilight Mire,0,2008,10.48,#d78f42,https://cards.scryfall.io/large/front/f/f/ff619a09-4fe5-4341-9077-88a0a9f4fbf9.jpg?1562949079
Umbra Stalker,7,2008,0.29,#000000,https://cards.scryfall.io/large/front/1/e/1efdd70a-5a84-48a5-82bf-ba29fda097c0.jpg?1562901499
Wake Thrasher,3,2008,1.04,#341aff,https://cards.scryfall.io/large/front/9/3/93116209-636a-4b86-a8ed-d4a03e1d7212.jpg?1562926091
Ward of Bones,6,2008,12.61,#8c8d8b,https://cards.scryfall.io/large/front/a/2/a271351e-5d5e-443b-99a4-ebdc8a3c4923.jpg?1562929259
Waves of Aggression,5,2008,24.03,#d78f42,https://cards.scryfall.io/large/front/8/3/83d52ba7-ffb3-4c24-85d8-8635ef1880d9.jpg?1562922793
Worm Harvest,5,2008,0.49,#d78f42,https://cards.scryfall.io/large/front/7/8/78f48156-a7db-4d96-981e-a288cfaa67e7.jpg?1562920389
