name,cmc,release_year,price,color,image
Caves of Koilos,0,2014,0.85,#d78f42,https://cards.scryfall.io/normal/front/6/8/68ed4c64-8998-4686-b5d4-e9735e0c1a76.jpg?1562385582
City of Brass,0,2014,12.55,#8c8d8b,https://cards.scryfall.io/normal/front/2/d/2d120ddb-73e7-4dbc-b48c-4a6c74f331c3.jpg?1562385576
Elspeth- Knight-Errant,4,2014,10.27,#ffffff,https://cards.scryfall.io/normal/front/2/0/200e0e28-88cc-43e5-8774-28ba791cfa63.jpg?1562385572
Honor of the Pure,2,2014,1.43,#ffffff,https://cards.scryfall.io/normal/front/c/f/cf643b03-d388-451b-933a-28f3c4087877.jpg?1562385671
Isolated Chapel,0,2014,5.33,#d78f42,https://cards.scryfall.io/normal/front/4/e/4e1ad9b1-f59c-4990-a43f-1a705f09bae7.jpg?1562385579
Kataki- War's Wage,2,2014,4.67,#ffffff,https://cards.scryfall.io/normal/front/9/0/9057835d-3d5c-4daf-af96-3b6ea749b12e.jpg?1562385661
Sword of Feast and Famine,3,2014,54.46,#8c8d8b,https://cards.scryfall.io/normal/front/9/b/9b370b3f-ae0d-4744-8b3d-3c48c81c1326.jpg?1562385664
Vault of the Archangel,0,2014,3.74,#d78f42,https://cards.scryfall.io/normal/front/6/e/6efbe3db-5d38-4807-9348-0204fa5a7681.jpg?1562385657
Windbrisk Heights,0,2014,0.32,#ffffff,https://cards.scryfall.io/normal/front/1/0/10822e32-adf3-4ad7-b889-e81d68983b5b.jpg?1562385569
