name,cmc,release_year,price,color,image
Maestros Ascendancy,3,2022,0.49,#d78f42,https://cards.scryfall.io/normal/front/4/7/47a9a078-c54e-4987-b927-4c4e50417e3a.jpg?1651797444
Maestros Diabolist,3,2022,0.43,#d78f42,https://cards.scryfall.io/normal/front/a/2/a26196ce-50a4-42c0-8704-38eadbdb77ea.jpg?1651797421
Meeting of the Five,8,2022,0.6,#d78f42,https://cards.scryfall.io/normal/front/b/7/b721a762-245a-4c95-93e8-c401832783d6.jpg?1651797397
Mysterious Limousine,5,2022,0.53,#ffffff,https://cards.scryfall.io/normal/front/8/b/8bc80d09-3659-4179-8f9c-3676ecc9b3e2.jpg?1651798664
Ob Nixilis- the Adversary,3,2022,8.54,#d78f42,https://cards.scryfall.io/normal/front/0/d/0db53adf-efe9-441d-91f5-d6e357ddb45f.jpg?1651797374
Obscura Ascendancy,3,2022,0.36,#d78f42,https://cards.scryfall.io/normal/front/2/d/2d5f4c19-b621-4c14-a369-c16d65d8652e.jpg?1651797349
Obscura Interceptor,4,2022,0.46,#d78f42,https://cards.scryfall.io/normal/front/3/c/3cc3b9c4-e2d8-4f53-8744-451a9e5c6216.jpg?1651797325
Ognis- the Dragon's Lash,4,2022,0.6,#d78f42,https://cards.scryfall.io/normal/front/a/7/a72f1e87-636b-492c-9e48-eb3dd78602cd.jpg?1651797304
Park Heights Pegasus,2,2022,0.48,#d78f42,https://cards.scryfall.io/normal/front/5/9/599bd005-3185-4ec1-9f69-1880d4407033.jpg?1651797280
Professional Face-Breaker,3,2022,4.3,#ff1a1a,https://cards.scryfall.io/normal/front/0/5/05bf07aa-1dda-4628-8a4b-c40d13145a49.jpg?1651798080
Rabble Rousing,5,2022,0.82,#ffffff,https://cards.scryfall.io/normal/front/3/5/35ab950a-92f5-4eed-b7bc-cf90ba385789.jpg?1651798640
Raffine- Scheming Seer,3,2022,2.6,#d78f42,https://cards.scryfall.io/normal/front/d/a/da7a42b9-2214-426a-bb62-9ebc2d3e342c.jpg?1651797256
Raffine's Tower,0,2022,8.38,#d78f42,https://cards.scryfall.io/normal/front/f/4/f47199c3-e7d3-4cfd-acbb-287adf526ba7.jpg?1651796876
Reservoir Kraken,4,2022,0.29,#341aff,https://cards.scryfall.io/normal/front/4/1/4171a904-e7aa-450d-a6b8-b85038dcb48f.jpg?1651798472
Rigo- Streetwise Mentor,3,2022,0.67,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0c1d8a8-d523-4ad7-8f78-1278e587105f.jpg?1651797234
Riveteers Ascendancy,3,2022,0.54,#d78f42,https://cards.scryfall.io/normal/front/f/3/f3917c0f-bf5c-4177-a2fd-b7ba2b38c242.jpg?1651797202
Sanctuary Warden,6,2022,1.83,#ffffff,https://cards.scryfall.io/normal/front/0/4/0448ddc8-9ed7-4859-a256-bbcf148c9c39.jpg?1651798620
Sanguine Spy,3,2022,0.32,#000000,https://cards.scryfall.io/normal/front/b/b/bb3affde-0f57-4450-a139-ac00436debf8.jpg?1651798300
Scheming Fence,2,2022,0.58,#d78f42,https://cards.scryfall.io/normal/front/e/9/e989ccb3-805b-4cc4-9c20-6f0e3eba3592.jpg?1651797182
Shadow of Mortality,15,2022,0.47,#000000,https://cards.scryfall.io/normal/front/a/d/ad4f6fcd-9d38-4a7d-a07a-be30dac4ff1d.jpg?1651798280
Shakedown Heavy,3,2022,0.45,#000000,https://cards.scryfall.io/normal/front/9/d/9df9c956-1774-40f1-a7dc-5eb40100d76d.jpg?1651798257
Soul of Emancipation,7,2022,0.38,#d78f42,https://cards.scryfall.io/normal/front/a/a/aa38fffd-3b69-497e-830b-92cdccd6022b.jpg?1651797162
Spara's Headquarters,0,2022,7.94,#d78f42,https://cards.scryfall.io/normal/front/2/b/2bc770c4-4dd8-4129-8428-b730acc7bc68.jpg?1651796852
Structural Assault,5,2022,0.52,#ff1a1a,https://cards.scryfall.io/normal/front/4/0/40f05069-09df-4123-a8d8-8a8bd8186d63.jpg?1651798060
Tenacious Underdog,2,2022,2.53,#000000,https://cards.scryfall.io/normal/front/b/2/b2a7edc0-b8db-415d-9583-b0738d7753fb.jpg?1651798231
Titan of Industry,7,2022,4.55,#087500,https://cards.scryfall.io/normal/front/7/2/72ff838c-c9c4-45bf-997e-527d246d3faa.jpg?1651797882
Toluz- Clever Conductor,3,2022,0.3,#d78f42,https://cards.scryfall.io/normal/front/c/d/cd196551-66d2-45cd-a596-21c262069e11.jpg?1651797127
Topiary Stomper,3,2022,1.41,#087500,https://cards.scryfall.io/normal/front/a/2/a2b05aee-1d09-48c1-b766-d5e9e9c71796.jpg?1651797855
Undercover Operative,4,2022,0.47,#341aff,https://cards.scryfall.io/normal/front/1/8/18ceb6cd-3b11-4d83-b467-a93369647477.jpg?1651798448
Unleash the Inferno,4,2022,0.41,#d78f42,https://cards.scryfall.io/normal/front/4/0/406b52e4-8b74-4805-8db5-834abde8a99c.jpg?1651797103
Unlicensed Hearse,2,2022,11.89,#8c8d8b,https://cards.scryfall.io/normal/front/6/9/69b35a25-8c7c-4c4e-905c-8db59e0d3f32.jpg?1651796922
Urabrask- Heretic Praetor,5,2022,3.87,#ff1a1a,https://cards.scryfall.io/normal/front/f/f/fff271af-abc2-44c2-b2de-d77dee87604d.jpg?1651798026
Vivien on the Hunt,6,2022,2.96,#087500,https://cards.scryfall.io/normal/front/c/6/c64cd22b-558b-4982-bb43-633df9e56176.jpg?1651797828
Void Rend,3,2022,1.65,#d78f42,https://cards.scryfall.io/normal/front/b/a/ba2a5750-d62c-4be8-958a-4057bb1c2c31.jpg?1651797079
Widespread Thieving,3,2022,0.39,#d78f42,https://cards.scryfall.io/normal/front/2/9/2943db52-7b80-46c9-9a0c-ae99f7961415.jpg?1651798003
Wiretapping,5,2022,0.38,#341aff,https://cards.scryfall.io/normal/front/7/a/7a534a2f-b49a-45c0-800d-a3109d54b8ae.jpg?1651798426
Workshop Warchief,5,2022,0.3,#087500,https://cards.scryfall.io/normal/front/3/9/395517fa-2cfc-43a8-b937-fe71971731c0.jpg?1651797798
Xander's Lounge,0,2022,6.31,#d78f42,https://cards.scryfall.io/normal/front/5/7/5728a46b-5e12-4abd-97c2-d94734a7ee77.jpg?1651796829
Ziatora's Envoy,4,2022,0.81,#d78f42,https://cards.scryfall.io/normal/front/2/9/298fd1b2-a52d-4c7f-ae6a-baf8f9b8b288.jpg?1651796992
Ziatora's Proving Ground,0,2022,7.27,#d78f42,https://cards.scryfall.io/normal/front/4/9/49bdba86-21d9-412a-80ea-60cb722ac31c.jpg?1651796806
Ziatora- the Incinerator,6,2022,3.98,#d78f42,https://cards.scryfall.io/normal/front/c/b/cbc296d0-e575-403b-b909-919364b7b444.jpg?1651797057
