name,cmc,release_year,price,color,image
Daxos's Torment,4,2015,0.22,#000000,https://cards.scryfall.io/normal/front/8/8/885284bd-492e-4fc1-921a-a55a069c3fa9.jpg?1562706722
Daxos the Returned,3,2015,3.11,#d78f42,https://cards.scryfall.io/normal/front/4/a/4abe142e-7e87-464b-be2a-ad2fc7aebd51.jpg?1562703959
Day of the Dragons,7,2015,0.12,#341aff,https://cards.scryfall.io/normal/front/3/3/33aac116-e138-404d-a3c3-95a8b5d9d22f.jpg?1562702924
Deadly Tempest,6,2015,0.53,#000000,https://cards.scryfall.io/normal/front/b/9/b9ca2810-3c1b-43cf-af1e-078015bf3492.jpg?1562708889
Death Grasp,2,2015,0.24,#d78f42,https://cards.scryfall.io/normal/front/7/c/7cd6f616-2b22-42ed-818d-02d4a474ca8f.jpg?1562706282
Desolation Giant,4,2015,0.15,#d78f42,https://cards.scryfall.io/normal/front/f/9/f9b990e1-c72d-4549-9783-bbafe027dfed.jpg?1562711734
Dictate of Heliod,5,2015,0.45,#ffffff,https://cards.scryfall.io/normal/front/f/9/f964c561-96ac-4558-b46e-ba2c472d5807.jpg?1562711717
Disaster Radius,7,2015,0.13,#ff1a1a,https://cards.scryfall.io/normal/front/c/5/c5d54c00-6824-4ec5-b025-ef1938ec99e9.jpg?1562709396
Doomwake Giant,5,2015,0.55,#000000,https://cards.scryfall.io/normal/front/d/1/d148e1f1-82fd-44ee-ace4-937f2a638329.jpg?1562709963
Dragon Mage,7,2015,0.54,#ff1a1a,https://cards.scryfall.io/normal/front/e/4/e44f5ddd-29fb-4f79-a17a-50474d82fcaf.jpg?1562710804
Dread Summons,2,2015,0.55,#000000,https://cards.scryfall.io/normal/front/b/2/b2c20cb1-3e3d-4fea-b617-bd6d796c8d10.jpg?1562708557
Dream Pillager,7,2015,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/8/a/8afc7b68-8b01-47f3-b941-7e362b45ea12.jpg?1562706858
Earthquake,1,2015,1.24,#ff1a1a,https://cards.scryfall.io/normal/front/5/e/5e780adf-79e8-459e-bab9-bfd39c080f45.jpg?1562704843
Eater of Hope,7,2015,0.18,#000000,https://cards.scryfall.io/normal/front/e/8/e869a6c0-7dd9-4669-ac96-35ee08fa2f1a.jpg?1562710947
Eldrazi Monument,5,2015,9.65,#8c8d8b,https://cards.scryfall.io/normal/front/c/f/cfd06bb7-92df-43de-b335-7d53a608feb8.jpg?1562709901
Epic Experiment,2,2015,0.33,#d78f42,https://cards.scryfall.io/normal/front/0/2/02c4b106-5838-49cc-97a5-f7a209348c77.jpg?1562700658
Etherium-Horn Sorcerer,6,2015,0.23,#d78f42,https://cards.scryfall.io/normal/front/b/8/b8e3b336-ac81-4ca8-8ce4-c68070695d7e.jpg?1562708854
Extractor Demon,6,2015,0.18,#000000,https://cards.scryfall.io/normal/front/8/8/88ffa3ef-cef6-4d9b-9086-44642ea7270d.jpg?1562706747
Ezuri- Claw of Progress,4,2015,4.2,#d78f42,https://cards.scryfall.io/normal/front/e/f/ef1b62ff-dbb3-4500-9d64-a3047ce193ec.jpg?1562711246
Ezuri's Predation,8,2015,1.77,#087500,https://cards.scryfall.io/normal/front/4/d/4d9b4ad1-3d5c-43b6-9284-9ec427936dd2.jpg?1562704058
Fate Unraveler,4,2015,1.27,#000000,https://cards.scryfall.io/normal/front/1/e/1e2a9dea-349b-4a23-a66f-e9a2585f472f.jpg?1562702019
Fiery Confluence,4,2015,1.41,#ff1a1a,https://cards.scryfall.io/normal/front/7/b/7b61c9bc-16e8-417f-99e7-8bd83d4666c5.jpg?1562706203
