name,cmc,release_year,price,color,image
Hamlet Vanguard,3,2021,0.14,#087500,https://cards.scryfall.io/normal/front/f/3/f31e108b-8cb5-4f30-b68b-274aa7ac2a81.jpg?1643592687
Headless Rider,3,2021,1.92,#000000,https://cards.scryfall.io/normal/front/c/2/c24018e8-b8f1-44a5-9355-8b79f363569d.jpg?1643589870
Henrika Domnathi // Henrika- Infernal Seer,4,2021,0.78,#000000,https://cards.scryfall.io/normal/front/0/2/02cb5cfd-018e-4c5e-bef1-166262aa5f1d.jpg?1641306156
Hiveheart Shaman,4,2021,0.08,#087500,https://cards.scryfall.io/normal/front/3/3/33efdb5a-7667-4475-9905-95f8fc9be2d3.jpg?1643592733
Hopeful Initiate,1,2021,5.16,#ffffff,https://cards.scryfall.io/normal/front/e/c/ec1b3fd1-952a-4bc6-9b31-bd9bd13072f5.jpg?1643586463
Howling Moon,3,2021,0.32,#087500,https://cards.scryfall.io/normal/front/c/a/ca50b6a5-2e58-4de3-b0e1-0b33536f69a6.jpg?1643592864
Howlpack Piper // Wildsong Howler,4,2021,1.05,#087500,https://cards.scryfall.io/normal/front/3/2/32af9f41-89e2-4e7a-9fec-fffe79cae077.jpg?1641306082
Hullbreaker Horror,7,2021,2.7,#341aff,https://cards.scryfall.io/normal/front/4/b/4b546bcf-2e86-42af-bf32-81c7fd36ef8c.jpg?1643587961
Ill-Tempered Loner // Howlpack Avenger,4,2021,0.42,#ff1a1a,https://cards.scryfall.io/normal/front/5/3/53fb7b99-9e47-46a6-9c8a-88e28b5197f1.jpg?1641306121
Inspired Idea,3,2021,0.16,#341aff,https://cards.scryfall.io/normal/front/2/f/2fe4ee8e-579d-4bfa-8c19-bfdb1c0b7177.jpg?1643587992
Investigator's Journal,2,2021,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/f/8/f8a606e5-7a90-4a89-b51a-7f4e68705f97.jpg?1643594784
Jacob Hauken- Inspector // Hauken's Insight,2,2021,0.67,#341aff,https://cards.scryfall.io/normal/front/a/c/acf7b664-3e75-4018-81f6-2a14ab59f258.jpg?1641306192
Katilda- Dawnhart Martyr // Katilda's Rising Dawn,3,2021,2.75,#ffffff,https://cards.scryfall.io/normal/front/a/9/a9891b7b-fc52-470c-9f74-292ae665f378.jpg?1641306232
Kaya- Geist Hunter,3,2021,2.78,#d78f42,https://cards.scryfall.io/normal/front/a/9/a98a208c-ee2b-4672-a43b-f4a708585b1a.jpg?1643594174
Kessig Wolfrider,1,2021,0.12,#ff1a1a,https://cards.scryfall.io/normal/front/1/8/180b1a4f-c071-4742-9c57-9d775be0ed4f.jpg?1643591556
Lantern Flare,2,2021,0.11,#d78f42,https://cards.scryfall.io/normal/front/d/f/dfd59300-7b5c-4263-a7fd-775c9fcb05ad.jpg?1643586607
Manaform Hellkite,4,2021,2.75,#ff1a1a,https://cards.scryfall.io/normal/front/5/2/52e59170-aa80-45e1-ad0d-ce4818e78d2a.jpg?1643591771
Mirrorhall Mimic // Ghastly Mimicry,4,2021,1.41,#341aff,https://cards.scryfall.io/normal/front/a/c/acf7b664-3e75-4018-81f6-2a14ab59f258.jpg?1641306192
Necroduality,4,2021,9.19,#341aff,https://cards.scryfall.io/normal/front/9/b/9b674053-1f0f-436d-b106-f91f41cf3959.jpg?1643588255
Odric- Blood-Cursed,3,2021,0.16,#d78f42,https://cards.scryfall.io/normal/front/8/1/81a79f5f-a65a-4b43-b58c-cdfa09cc7855.jpg?1643594248
Old Rutstein,3,2021,0.37,#d78f42,https://cards.scryfall.io/normal/front/6/2/625b8023-2ef1-4b7b-9e48-4f774fee14e0.jpg?1643594276
Olivia- Crimson Bride,6,2021,6.42,#d78f42,https://cards.scryfall.io/normal/front/3/0/301dacc9-ef92-4515-b907-a70d6c3fd73e.jpg?1643594300
Olivia's Attendants,6,2021,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/d/9/d9702fa3-9323-4e2f-92c9-6c31df198af2.jpg?1643591824
Overcharged Amalgam,4,2021,0.24,#341aff,https://cards.scryfall.io/normal/front/d/b/dbbcd63d-6c25-47a6-a76c-ac53bf12949c.jpg?1643588286
Patchwork Crawler,2,2021,0.09,#341aff,https://cards.scryfall.io/normal/front/6/b/6bb86ebf-f145-43c1-8f05-f4b55ded59b6.jpg?1643588398
